127.0.0.1, 2014-02-17 22:47:24, GET, /, HTTP/1.1, 303, 0.002804
127.0.0.1, 2014-02-17 22:47:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.274578
127.0.0.1, 2014-02-17 22:47:24, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000686
127.0.0.1, 2014-02-17 22:47:24, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000618
127.0.0.1, 2014-02-17 22:47:24, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.005807
127.0.0.1, 2014-02-17 22:47:24, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000787
127.0.0.1, 2014-02-17 22:47:24, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000768
127.0.0.1, 2014-02-17 22:47:24, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001054
127.0.0.1, 2014-02-17 22:47:24, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000639
127.0.0.1, 2014-02-17 22:47:25, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002315
127.0.0.1, 2014-02-17 22:47:25, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003980
127.0.0.1, 2014-02-17 22:47:25, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004168
127.0.0.1, 2014-02-17 22:47:25, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001166
127.0.0.1, 2014-02-17 22:47:25, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003068
127.0.0.1, 2014-02-17 22:47:25, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000631
127.0.0.1, 2014-02-17 22:47:25, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001372
127.0.0.1, 2014-02-17 22:47:25, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000800
127.0.0.1, 2014-02-17 22:47:36, GET, /topolab/default/index, HTTP/1.1, 200, 0.140339
127.0.0.1, 2014-02-17 22:47:36, GET, /topolab/static/js/jquery.js, HTTP/1.1, 200, 0.002586
127.0.0.1, 2014-02-17 22:47:36, GET, /topolab/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001090
